Software Name,Version,Release Date,EOL Date
Prisma Access Browser,145.7.x.x,2026-02-12,2026-05-13
Prisma Access Browser,144.27.x.x,2026-02-04,2026-05-05
Prisma Access Browser,144.23.x.x,2026-01-28,2026-04-28
Prisma Access Browser,144.15.x.x,2026-01-21,2026-04-21
Prisma Access Browser,144.6.x.x,2026-01-14,2026-04-14
Prisma Access Browser,143.37.x.x,2026-01-07,2026-04-07
Prisma Access Browser,143.31.x.x,2025-12-31,2026-03-31
Prisma Access Browser,143.24.x.x,2025-12-24,2026-03-24
Prisma Access Browser,143.18.x.x,2025-12-17,2026-03-17
Prisma Access Browser,143.12.x.x,2025-12-11,2026-03-11
Prisma Access Browser,143.6.x.x,2025-12-03,2026-03-03
Prisma Access Browser,142.33.x.x,2025-11-27,2026-02-25
Prisma Access Browser,142.28.x.x,2025-11-18,2026-02-16
Prisma Access Browser,142.21.x.x,2025-11-12,2026-02-10
Prisma Access Browser,142.15.x.x,2025-11-06,2026-02-04
Prisma Access Browser,142.7.x.x,2025-10-29,2026-01-27
Prisma Access Browser,141.22.x.x,2025-10-22,2026-01-20
Prisma Access Browser,141.19.x.x,2025-10-15,2026-01-13
Prisma Access Browser,141.12.x.x,2025-10-08,2026-01-06
Prisma Access Browser,141.6.x.x,2025-10-01,2025-12-30
Prisma Access Browser,140.26.x.x,2025-09-24,2025-12-23
Prisma Access Browser,140.21.x.x,2025-09-18,2025-12-17
Prisma Access Browser,140.14.x.x,2025-09-10,2025-12-09
Prisma Access Browser,140.7.x.x,2025-09-03,2025-12-02
Prisma Access Browser,139.23.x.x,2025-08-27,2025-11-25
Prisma Access Browser,139.18.x.x,2025-08-20,2025-11-18
Prisma Access Browser,139.12.x.x,2025-08-13,2025-11-11
Prisma Access Browser,139.7.x.x,2025-08-07,2025-11-05
Prisma Access Browser,138.69.x.x,2025-07-30,2025-10-28
Prisma Access Browser,138.64.x.x,2025-07-23,2025-10-21
Prisma Access Browser,138.53.x.x,2025-07-16,2025-10-14
Prisma Access Browser,138.47.x.x,2025-07-09,2025-10-07
Prisma Access Browser,138.40.x.x,2025-07-01,2025-09-29
Prisma Access Browser,138.33.x.x,2025-06-25,2025-09-23
Prisma Access Browser,137.27.x.x,2025-06-18,2025-09-16
Prisma Access Browser,137.20.x.x,2025-06-11,2025-09-09
Prisma Access Browser,137.16.x.x,2025-06-03,2025-09-01
Prisma Access Browser,137.8.x.x,2025-05-28,2025-08-26
Prisma Access Browser,136.33.x.x,2025-05-21,2025-08-19
Prisma Access Browser,136.24.x.x,2025-05-14,2025-08-12
Prisma Access Browser,136.17.x.x,2025-05-07,2025-08-05
Prisma Access Browser,136.11.x.x,2025-04-30,2025-07-29
Prisma Access Browser,135.27.x.x,2025-04-23,2025-07-22
Prisma Access Browser,135.16.x.x,2025-04-09,2025-07-08
Prisma Access Browser,135.10.x.x,2025-04-02,2025-07-01
Prisma Access Browser,134.29.x.x,2025-03-26,2025-06-24
Prisma Access Browser,134.20.x.x,2025-03-20,2025-06-18
Prisma Access Browser,134.17.x.x,2025-03-11,2025-06-09
Prisma Access Browser,134.7.x.x,2025-03-05,2025-06-03
Prisma Access Browser,133.36.x.x,2025-02-26,2025-05-27
Prisma Access Browser,133.27.x.x,2025-02-19,2025-05-20
Prisma Access Browser,133.16.x.x,2025-02-13,2025-05-14
Prisma Access Browser,133.8.x.x,2025-02-05,2025-05-06
Prisma Access Browser,132.x.3025.x,2025-01-29,2025-04-29
Prisma Access Browser,132.x.3017.x,2025-01-22,2025-04-22
Prisma Access Browser,132.x.3010.x,2025-01-15,2025-04-15
Prisma Access Browser,131.x.2999.x,2025-01-08,2025-04-08
Prisma Access Browser,131.x.2995.x,2025-01-01,2025-04-01
Prisma Access Browser,131.x.2986.x,2024-12-26,2025-03-26
Prisma Access Browser,131.x.2976.x,2024-12-19,2025-03-19
Prisma Access Browser,131.x.2968.x,2024-12-11,2025-03-11
Prisma Access Browser,131.x.2963.x,2024-12-04,2025-03-04
Prisma Access Browser,131.x.2955.x,2024-11-28,2025-02-26
Prisma Access Browser,131.x.2948.x,2024-11-20,2025-02-18
Prisma Access Browser,131.x.2943.x,2024-11-14,2025-02-12
Prisma Access Browser,130.x.2936.x,2024-11-06,2025-02-04
Prisma Access Browser,130.x.2931.x,2024-10-30,2025-01-28
Prisma Access Browser,130.x2926.x,2024-10-23,2025-01-21
Prisma Access Browser,130.x2920.x,2024-10-16,2025-01-14
Prisma Access Browser,129.x2913.x,2024-10-09,2025-01-07
Prisma Access Browser,129.x2910.x,2024-10-02,2024-12-31
Prisma Access Browser,129.x2903.x,2024-09-25,2024-12-24
Prisma Access Browser,129.x2896.x,2024-09-18,2024-12-17
Prisma Access Browser,128.x.2888.x,2024-09-11,2024-12-10
